ThongTinID	TongDiem
BD1200001		30
BD1200002		37.2
BD1200003		37.8
BD1200004		38.05
BD1200005		40.25
BD1200006		24
BD1200007		35.75
BD1200008		37.25
BD1200009		49.7
BD1200010		43.75
BD1200011		34.35
BD1200012		50.65
BD1200013		10.55
BD1200014		37.15
BD1200015		27.95
BD1200016		36.25
BD1200017		32.75
BD1200018		33.85
BD1200019		35.2
BD1200020		41
BD1200021		24.6
BD1200022		23.65
BD1200024		30.6
BD1200025		14.5
BD1200026		22.45
BD1200027		33.8
BD1200028		36.2
BD1200029		43.35
BD1200030		42.85
BD1200031		37.5
BD1200032		35.55
BD1200033		40.35
BD1200034		45.25
BD1200035		37.2
BD1200036		31.4
BD1200037		33.85
BD1200038		29.35
BD1200039		40.4
BD1200040		43.2
BD1200041		26.55
BD1200042		44.3
BD1200043		23.9
BD1200044		37.5
BD1200045		34.55
BD1200046		43.45
BD1200047		22.1
BD1200048		39.1
BD1200049		31.05
BD1200050		33.55
BD1200051		17.55
BD1200052		32.55
BD1200053		31.7
BD1200054		44.35
BD1200055		32.7
BD1200056		32.6
BD1200057		34.8
BD1200058		42.8
BD1200059		27.5
BD1200060		28.8
BD1200061		47.7
BD1200062		45.3
BD1200063		37.45
BD1200064		44
BD1200065		29.95
BD1200066		37.75
BD1200067		19.9
BD1200068		43.1
BD1200069		30.55
BD1200070		29.75
BD1200071		28.75
BD1200072		31.2
BD1200073		28.8
BD1200074		33.95
BD1200075		38.75
BD1200076		48.65
BD1200077		28.95
BD1200078		34
BD1200079		30.9
BD1200080		35.85
BD1200081		48.5
BD1200082		28.05
BD1200083		29.6
BD1200084		27.3
BD1200085		36.75
BD1200086		35.95
BD1200087		23.3
BD1200088		36.05
BD1200089		24.6
BD1200090		29
BD1200091		29.65
BD1200092		36.75
BD1200093		36.7
BD1200094		30.9
BD1200095		42.15
BD1200096		38.55
BD1200097		31.9
BD1200098		23.65
BD1200099		23.55
BD1200100		39.9
BD1200101		38.1
BD1200102		20.95
BD1200103		23.85
BD1200104		32.7
BD1200105		17.3
BD1200106		10.9
BD1200107		27.7
BD1200108		29.2
BD1200109		42.55
BD1200110		34.75
BD1200111		23
BD1200112		51.75
BD1200113		40.8
BD1200114		33.55
BD1200115		40.1
BD1200116		38.8
BD1200117		26.25
BD1200118		29.35
BD1200119		31.65
BD1200120		33.2
BD1200121		33.25
BD1200122		32.15
BD1200123		28.5
BD1200124		33.3
BD1200125		31.5
BD1200126		20.6
BD1200127		33.05
BD1200128		37.1
BD1200129		29.95
BD1200130		42.4
BD1200131		23.9
BD1200132		33.05
BD1200133		30.25
BD1200134		43.3
BD1200135		43.2
BD1200136		27.15
BD1200137		32.15
BD1200139		27.75
BD1200140		7.5
BD1200141		21.9
BD1200142		39.7
BD1200143		35.2
BD1200144		51
BD1200145		18.85
BD1200146		34.65
BD1200147		49.35
BD1200148		36.05
BD1200149		30.65
BD1200150		34.9
BD1200151		35.15
BD1200152		30.15
BD1200153		52.9
BD1200154		35.45
BD1200155		26.8
BD1200156		31.75
BD1200157		27.2
BD1200158		41.2
BD1200159		41.2
BD1200161		40.85
BD1200162		28.4
BD1200163		39.15
BD1200164		40.45
BD1200165		37.2
BD1200166		31.9
BD1200167		43.85
BD1200168		34.8
BD1200169		34
BD1200170		29.8
BD1200171		37
BD1200172		32.35
BD1200173		27.1
BD1200174		28.9
BD1200175		26.8
BD1200176		33.25
BD1200177		28.65
BD1200178		14.9
BD1200179		50.75
BD1200180		26.6
BD1200181		24.7
BD1200182		30
BD1200183		35.75
BD1200184		34.4
BD1200185		46.65
BD1200186		33
BD1200187		25.45
BD1200188		31.65
BD1200189		35.6
BD1200190		40
BD1200191		34.95
BD1200192		20.8
BD1200193		35.8
BD1200194		39.65
BD1200195		34.6
BD1200196		34.2
BD1200197		37.25
BD1200198		39.85
